Ano;Tema
2002;TPI/ Estatuto de Roma/ entrega x extradição
2002;Solicitação de asilo político em embaixada brasileira
2002;Configuração do DIP/ fontes/ sujeitos
2002;Jurisdição brasileira em matéria de direito penal/ crime contra a humanidade/ TPI. MPF pode denunciar presidente de um país, em visita ao Brasil, por ter cometido crime contra a humanidade em seu país de origem?
2002;Reconhecimento de Estado e de governo
2003;Princípio da igualdade e ações afirmativas
2003;Consequências de não aprovação de medida provisória pelo Congresso: relações jurídicas constituídas.
2003;Indivíduo como sujeito de DIP
2003;Solução pacífica de controvérsias e decisão pela guerra.
2003;Jurisdição e constitucionalidade do Tribunal Penal Internacional para a Ex-Iugoslávia (T.P.I.E.I.)
2004;Soberania dos Estados e interdependência no sistema internacional
2004;Responsabilidade civil do Estado
2004;Princípio da separação de poderes e controle externo do Poder Judiciário.
2004;Reserva de tratados
2004;Monismo/ dualismo/  Internalização de tratado/ responsabilização internacional.
2005;Medida provisória
2005;Questão geral sobre DIP
2005;Autonomia x soberania dos estados da Federação/ tratados.
2005;Carta da ONU e uso da força
2005;Tratados sobre direitos humanos/ Emenda Constitucional no 45/2004
2006;A natureza do DIP
2006;Competências da CIJ e do CS
2006;Sobre viabilidade jurídica de PEC para admitir pena de morte no Brasil restrita a estrangeiros
2006;Sobre se o "pacta sunt servanda" é uma regra moral e não consuetudinária.
2006;Sobre se as normas decorrentes da incorporação do Estatuto de Roma ao ordenamento jurídico brasileiro estão imunes ao controle de constitucionalidade
2007;CPJI e caso Lotus
2007;Jurisdição
2007;Atuação do Congresso Nacional e assuntos de política externa
2007;cláusula da nação mais favorecida/ regionalismo/ blocos econômicos
2007;Soberania e via jurisdicional judiciária de solução de conflitos internacionais
2008;Relações entre DIP e Direito Constitucional
2008;DIP geral
2008;Imunidade de OI à jurisdição local
2008;Jurisdição (Analise, à luz do direito internacional privado brasileiro, a possibilidade de homologação de sentença estrangeira de divórcio que dissolva casamento entre pessoas do mesmo sexo, legalmente celebrado em jurisdição estrangeira).
2009;Caso: pede para avaliar competência da CIJ, do mecanismo de solução de controvérsia do MERCOSUL e da OMC.
2009;Uso da força e solução pacífica de controvérsias
2009;Caso: possibilidade de o poder judiciário brasileiro exercer algum controle sobre Resolução do Conselho de Segurança
2009;Art 38 da CIJ
2010;armas nucleares/ uso da força/ Carta das Nações Unidas/ direito internacional humanitário
2010;Eficácia do sistema de solução de controvérsias da OMC.
2010;Vinculação/desvinculação do Brasil a tratados e participação do Congresso Nacional
2010;Reconhecimento de governo/ normas e princípios de DIP
2011;Carta da ONU/ constitucionalismo internacional/ características do sistema internacional
2011;CIJ e órgão de solução de controvérsias da OMC
2011;Caso: Convenção de Viena sobre Relações Diplomáticas
2011;Caracterísitcas do DIP
2012;Caso da OMC: conflito entre soberania sobre recursos naturais e livre comércio.
2012;Decisão do Conselho de Segurança versus direitos dos Estados
2012;sistema de solução de controvérsias do MERCOSUL e atuação não contenciosa de tribunais internacionais.
2012;Analisar, do ponto de vista jurídico-institucional, as características e consequências decorrentes de modelos de integração que contenham ao mesmo tempo elementos supranacionais e intergovernamentais.
2013;DIP em geral. Comente: “Há certamente um vocabulário jurídico nas relações internacionais, toda uma coleção de acordos e compromissos, mas isso não seria apenas a aparência dissimulada da realidade nua das relações de força e, para citar Bismarck, o poder normativo dos fatos.”
2013;Indicar o conteúdo das doutrinas Drago, Tobar e Estrada e assinalar sua importância no desenvolvimento do DIP
2013;Jurisdição: discorra sobre a possibilidade de um brasileiro, que esteja no território nacional, ser processado e julgado por crime praticado no exterior, à luz das garantias fundamentais estabelecidas na Constituição Federal e dos princípios que regem a cooperação jurídica internacional em matéria penal.
2013;Caso: expulsão de estrangeiro.
2014;Legalidade do recurso à ação armada/ solução pacífica de controvérsias
2014;Paris, Roma, Maastricht, Amsterdã, Schengen e Lisboa são cidades marcantes no processo de construção da União Europeia. Comente o significado jurídico dessa assertiva.
2014;Jurisdição da CIJ
2014;Nacionalidade (análise de caso hipotético)
2015;A paulatina erosão da dicotomia do direito (summa divisio) conducente à moderna publicização do direito privado.
2015;Os principais instrumentos internacionais de proteção aos refugiados e sobre o que dispõe a legislação brasileira a esse respeito.
2015;Disserte sobre direito internacional e água, em qualquer de suas dimensões.
2015;Asilo diplomático
2016;Princípios gerais do direito no ordenamento jurídico.
2016;Discorra a respeito das fases que compõem o processo de incorporação dos tratados, convenções e atos internacionais ao ordenamento jurídico brasileiro
2016;Entre a abstração e a realidade, comente as luzes e sombras acerca da questão do reconhecimento da personalidade jurídica em direito internacional público.
2016;Disserte sobre os possíveis efeitos das decisões da Corte Interamericana de Direitos Humanos para Estados que não sejam partes nos casos contenciosos em julgamento
2017;Competências estabelecida na Constituição Federal e sobre sua aplicação à União, aos estados, ao Distrito Federal e aos municípios.
2017;Mandato de Segurança
2017;Lei interna contrária ao Direito Internacional.
2017;Coordenação do DI.
2018;Nacionalidade Brasileira.
2018;Prisão do depositário infiel.
2018;Valores e princípios dos atores dominantes no DI.
2018;Ratificação de tratado.
2019;Responsabilidade Civil do Estado.
2019;Nacionalidade e apatridia.
2019;Artigo 4 da CF/88.
2019;Direitos e Garantias Fundamentais.
