Ano;Tema
2002;1808 – contexto Guerras Napoleônicas a) aliança luso-inglesa b) conseqüências econômicas e políticas dessa estratégia diplomática para Portugal e Brasil
2002;Decênio que vai de 1868 a 1878 a)novas ideias b) penetração da ideias na elite brasileira
2002;impactos da Primeira Guerra e da Depressão dos anos 30 sobre o Brasil.
2002;HM Esteriótipos Ocidente com relação ao Oriente, em particular com relação aos povos árabes
2002;HM sistema internacional na Guerra Fria, configuração dos mercados e armas nucleares
2003;PEB na época do Rio Branco (política alfandegária, relação com Argentina e correntes de pensamento)
2003;HM Era das revoluções - segunda metade do século XVIII e primeira metade do século XIX
2003;elementos e tempo histórico dos modelos de inserção internacional do Brasil: a) agroexportação, b) nacional-desenvolvimentismo.
2003;Independência do Brasil, peculiaridades, conjuntura interacional
2003;HM Orientalismo e processo de expansão européia do século XIX
2004;Transição regime militar para a nova república – rupturas e continuidades
2004;HM conjuntura pós-guerra
2004;Aplicações históricas e recentes do conceitos de América Latina e América do Sul (inserção política do Brasil)
2004;PEB para África  entre 1970-80
2004;relação da Inglaterra com as demais potências no início do séc XIX
2005;Guerra do Paraguai (causalidades das alianças e as consequências para a relação BRA-ARG)
2005;quadro político-partidário de todo o Segundo Reinado (1840 – 1889)
2005;Balanço dos novos comportamentos da diplomacia brasileira instaurados pelo Barão do Rio Branco
2005;enumere duas iniciativas e/ou exemplos nacional-desenvolvimentismo Era Vargas
2005;América do Sul, relações Brasil e a Argentina na segunda metade do século XX
2006;Tratado de Madri
2006;Movimento Modernista
2006;DUTRA Diferença nas relações internacionais do Brasil durante Dutra e primeiro governo Vargas,DO peso dos partidos políticos sobre o Governo Dutra
2006;relançamento da política africana do Brasil no Governo Médici e resultados
2006;discurso Araújo Castro, 1971 – soberania e autonomia- implicações no contexto histórico
2007;partidos políticos liberal e conservador durante a Regência e a primeira década do Segundo Reinado
2007;República Velha e o peso do café
2007;a) modificações do ambiente político-eleitoral que levaram Jânio Quadros ao poder b) as interpretações disponíveis para o gesto da renúncia
2007;Brasil pós-1945 -  industrialização, urbanização, resultantes culturais das migrações internas
2007;tema do desenvolvimento desde a redemocratização e o impacto da globalização na inserção internacional do Brasil
2008;Segundo Reinado - evolução das condições sociais e jurídicas do trabalho
2008;Mercosul
2008;principais pontos da Constituição republicana adotada em 1981
2008;processo de envolvimento o Brasil na Primeira Guerra Mundial, com ênfase nas razões que, em 1917, levaram o país a rever a posição de neutralidade que mantivera até então
2009;Fim regime militar - Abertura lenta, gradual e segura, o peso da eleição de governadores do partido de oposição em 1974, a formação de forças sociopolíticas que passaram a demandar o fim do regime
2009;Tratados de limites - importância dos Tratados de Utrecht, o resultado das negociações entre 1750 e 1801, e a ação de D. João VI no período em que esteve no Brasil (1808-1821).
2009;II Reinado 1862 e 1868 – mudança de gabinetes, conjuntura política, impactos sobre a PEB (em particular sobre a região platina)
2009;Décadas pós-II Guerra – papel do Brasil na construção de regras para o comércio internacional, e nos trabalhos da ONU voltados para o tema da descolonização da África
2010;relações Brasil-Argentina nas três últimas décadas do século XIX
2010;Formação da classe média no século XX – economia, migração, redes urbanas, vida política
2010;motivações da política externa no governo Geisel relacionadas ao setor energético
2010;relação entre a inserção internacional de segurança e a política exterior do Brasil no período compreendido entre 1945 e 1990
2011;Definição fronteiras - análise comparativa do processo de definição das fronteiras do Brasil com a Guiana Francesa e com a Guiana Inglesa
2011;Política Externa Independente (1961-1964)
2011;importância da Comissão Mista Brasil-Estados Unidos para a política externa brasileira na década de 50 do século XX
2011;Castello Branco - rupturas verificadas nas relações do Brasil com a Argentina, em decorrência da política externa brasileira adotada no primeiro governo do regime militar.
2012;PEB Independência do Brasil
2012;posições do Brasil no Império e na República nascente, no que tange à Conferência de Washington (1889-1890)
2012;política brasileira para a África entre o final da década de 1960 e o início dos anos 1970
2012;política econômica do Estado Novo (1937-45), discutindo eventuais mudanças no que se refere ao período compreendido entre 1930 e 1937
2013;relações entre a Inglaterra e o Brasil no período compreendido entre 1808 e 1831
2013;Primeira República: exportações, lei alfandegária e imigração
2013;ISEB
2013;PEB nos anos 1970: criação e evolução da PETROBRAS
2014;políticas do Segundo Reinado em relação à navegação internacional dos rios Amazonas, Paraná e Paraguai, explicando suas motivações
2014;PEB Campos Sales e o papel de Rio Branco na Chancelaria
2014;Missão Abbink.
2014;extensão do mar territorial para 200 milhas, explicitando as suas consequências e posteriores desdobramentos
2015;Tríplice Aliança e Guerra do Paraguai.
2015;Participação brasileira na II GM.
2015;República Liberal e crise de 1954.
2015;Eleições de 1974 e impacto para a transição do regime militar.
2016;PEB na Primeira República. - engloba tudo
2016;Processo de abolição, 1850 - 1888.
2016;República Liberal, 1945 - 1964.
2016;Duarte da Ponte Ribeiro, 1840 - 1850.
2017;Duas fases da independência. 90 linhas
2017;Política Externa de Dutra 90 linhas
2017;Primeira República. 60 linhas - colapso da primeira república, política dos Estados, tenentismo e salvacionismo militar
2017;Eleições e Reformar Eleitorais no Segundo Reinado. 60 linhas
2018;Movimento Integralista.
2018;Guerra da Cisplatina.
2018;Conferência de Punta del Este - 1962.
2018;Transferência da Corte para o Brasil.
2019;República Liberal - 1945-1964.
2019;Relações da monarquia brasileira com a britânica, independência até 1870.
2019;Voto na Primeira República.
2019;PEB no Cone Sul entre 1980 e 1990.
2020;2º REINADO: Reforma Liberal e Regresso Conservador
2020;MODERNISMO - Diplomacia cultural e PEI
