Ano;Tema
2003;Não proliferação e terrorismo
2003;UE – configuração de poder e relações com a Am. Latina
2003;Relações Brasil-China, Índia, Rússia e África do Sul
2003;Direitos Humanos
2003;Reforma da ONU
2004;Tratado de cooperação Amazônica
2004;Relações Brasil-China
2004;Brasil no Haiti
2004;Brasil-MERCOSUL
2004;Alargamento da UE e relações com o Brasil
2005;Relações Brasil-América do Sul
2005;Brasil e negociação comercial
2005;Política externa ambiental do Brasil
2005;Relações Brasil-países árabes
2005;Reforma da ONU
2006;Relações Brasil-América do Sul
2006;Reforma da ONU
2006;Conferências de cúpula
2006;Inserção internacional da China
2006;Brasil no regime multilateral de comércio
2007;O multilateralismo e a PEB
2007;Internacionalização de empresas brasileiras (América do Sul)
2007;Relações Brasil-EUA
2007;UE: Solidariedade e desafios
2007;Relações Brasil-Japão (década de 1970 e período atual)
2008;Relações Brasil-países emergentes
2008;Biocombustíveis
2008;PEB para a África
2008;Brasil e mudança do clima
2009;Sistema financeiro internacional
2009;MERCOSUL e UNASUL
2009;Unipolaridade e multipolaridade
2009;Brasil no combate ao narcotráfico
2010;Continuidade e inovação da PEB atual
2010;Posição brasileira para meio ambiente
2010;Brasil-Argentina no campo nuclear (anos 1990)
2010;grupos negociadores e relações Sul-Sul
2011;Desafios aos objetivos políticos do Brasil
2011;PEB – situação Líbia
2011;Relações Brasil-Argentina
2011;BRIC
2012;Coordenação comercial e financeira (novos atores e EUA)
2012;Crise, G20 e Rodada Doha
2012;Ascenção da China e PEB: comércio, finanças, ambiente, reforma CSNU
2012;PEB e questão nuclear
2013;Multilateralismo, funções do CSNU e crise na Síria
2013;cooperação brasileira para o desenvolvimento e implicações na inserção internacional do Brasil
2013;Operações de Paz da ONU – Brasil – riscos e oportunidades
2013;ZOPACAS
2014;princípios da diplomacia brasileira e meios para seu aprimoramento continuado
2014;desenvolvimento sustentável e agenda de desenvolvimentos pós-2015
2015;Disserte sobre a suposta disjunção entre ordem e poder no mundo atual, apresentando situações específicas da realidade internacional
2015;relações sino-japonesas nas últimas décadas e suas implicações para o fortalecimento do sistema multilateral, em especial para as Nações Unidas.
2016;Comente os fundamentos, a evolução e as perspectivas da cláusula democrática do Mercado Comum do Sul (MERCOSUL).
2016;Regionalismo comercial e Parceria Transpacífico.
2017;Relações entre Brasil e Argentina entre 1945-1980. 90 linhas
2017;Brasil e questão nuclear, Tratado sobre Proibição de Armas Nucleares. 90 linhas
2017;Reforma do CSNU. 60 linhas
2017;Política africana brasileira em 1960 e 1970. 60 linhas
2018;OMC.
2018;País mostrar ser grande ou ser grande.
2018;Doutrina Bush.
2018;Agenda Global e ONU.
2019;PEB no Regime Militar, foco em Geisel.
2019;Mackinder e objetivos estratégicos dos EUA, China e Rússia.
2019;Política Externa de Macri.
2019;Operações de paz da ONU.
